檢驗站站號,檢驗站站名,檢驗站地址,檢驗站市話
BN5,永詮機車行,臺中市太平區大源路52號,(04)23938965
BN6,信通機車行,臺中市霧峰區六股里中正路404號,(04)23391589
BN7,大輝機車行,臺中市新社區東新路2段49號,(04)25813331
BN8,立弘機車行,臺中市潭子區圓通南路282號1、2樓,(04)25320399
BN9,宗晟機車行,臺中市清水區鰲峰路192-3號1樓,(04)26222108
BO1,偉勝機車行,臺中市北屯區北平路三段31號1樓、2樓,(04)22346490
BO2,成發機車行,臺中市大雅區平和路45號,(04)25660775
BO3,和晉機車行,臺中市西區南屯路一段188號,(04)23750655
BO4,富順車業行,臺中市大雅區昌平路三段650號,(04)25661365
BO5,全暉機車行,臺中市西屯區華美西街2段381號1樓,(04)23168530
BO6,甲順輪業行,臺中市大甲區水源路168號,(04)26861365
BO7,億元機車行,臺中市北屯區東山路一段143之6號1、2樓,(04)24350219
BO8,光展機車行,臺中市北屯區文昌東四街73號,(04)22374131
BO9,三豐機車行,臺中市東區東南里十甲路55號1樓及十甲路57巷1號1樓、2樓,(04)22127827
BP1,民宏機車行,臺中市東勢區上城里上城街150號1樓,(04)25852806
BP2,永旭機車行,臺中市豐原區南陽里南陽路261號1樓,(04)25294395
BP3,裕祐機車行,臺中市后里區義里里甲后路一段135號1、2樓,(04)25586611
BP4,盛新輪業,臺中市霧峰區振興街117號1樓,(04)23307229
BP5,子翔機車行,臺中市大里區仁愛路153號1樓,(04)24913907
BP6,大裕機車行,臺中市大里區瑞城里塗城路310號1樓,(04)24924307
BP7,詳昇車業行,臺中市西區大忠里五權五街232號1樓,(04)23785959
BP8,普瑒機車行,臺中市北區進化路648之8號1樓、2樓,(04)22375586
BP9,太通機車行,臺中市神岡區豐洲里豐洲路165號1樓,(04)25242199
BQ1,昆鋒機車行,臺中市北區錦洲里進化路458號1樓,(04)22316200
BQ2,德旺二輪車業,臺中市沙鹿區晉江里臺灣大道七段130號1樓,(04)26336268
BQ3,南輪車行,臺中市東區振興路2-8號1樓、2樓,(04)22252407
BQ4,達興機車行,臺中市大肚區文昌路1段74巷5號1樓,(04)26981578
BQ5,上禾機車行,臺中市新社區中興里中興嶺90之6號1樓,(04)25820234
BQ6,廣裕汽車股份有限公司,臺中市北屯區松竹路一段901號,(04)24377800
BQ7,宏洋車業行,臺中市北區山西路二段113號1樓,(04)22936484
BQ8,佑達機車行,臺中市龍井區東海里國際街221號1樓,(04)26316111
BQ9,紅家機車行,臺中市沙鹿區鎮南路二段81、83號1F,(04)26368823
BR2,復興機車行,臺中市南區大慶街一段303號,(04)36090366
BR3,良發車業有限公司,臺中市梧棲區下寮里居仁街350巷16號,(04)26563950
BR4,修吉輪業商行,臺中市太平區東平路131號1樓,(04)22702972
BR5,東信機車行,臺中市東區振興里大智路209號1樓,(04)22805667
BR6,昇億機車行,臺中市太平區新坪里樹孝路298號1樓,(04)23927755
BR7,尚傑車業,臺中市北屯區松安里崇德二路一段196號1樓,(04)22493485
BR8,昇皇車業,臺中市大里區立仁里立仁路78號1樓,(04)22797425
BR9,聯達機車行,臺中市大雅區上楓里民生路三段405號1樓,(04)25680118
BS1,宥佳輪業行,臺中市北屯區平和里文心路四段259號1樓,(04)22959950
BS2,永川機車行,臺中市大甲區孟春里慈德路149號1樓,(04)26818982
BZ0,移動式定檢站(中市移動),臺中市西區民權路99號,(04)22297045
L02,佳陸車業有限公司,臺中市豐原區田心里中山路230號,(04)25264886
L03,通陽車業股份有限公司,臺中市豐原區豐原大道四段265號,(04)25264698
L04,台一機車行,臺中市豐原區田心里成功路34號1樓,(04)25264895
L05,東生機車行,臺中市豐原區南陽里永康路5號1樓,(04)25227673
L07,新東機車行,臺中市神岡區岸裡里中山路41號,(04)25233458
L08,元春機車行,臺中市神岡區北庄里中山路1186號,(04)25624106
L09,昆明機車行,臺中市東勢區南平里豐勢路346號,(04)25872680
L11,信泰機車行,臺中市東勢區北興里豐勢路621號,(04)25875776
L12,元富機車有限公司,臺中市潭子區頭家東里中山路一段328號,(04)25336959
L13,大龍機車行,臺中市潭子區潭秀里中山路二段578、582號,(04)25325585
L14,大明輪業商行,臺中市潭子區潭陽里潭子街二段59號,(04)25367072
L15,坤發車業商行,臺中市潭子區潭秀里中山路二段570號,(04)25322776
L16,祥僑輪業有限公司,臺中市太平區平安里太平路120號,(04)22795078
L17,全陽輪業有限公司,臺中市太平區中興東路5號1樓、7號1樓,(04)22797002
L18,旺泰益車業有限公司,臺中市大雅區中清東路5號,(04)25664073
L19,吉富機車行,臺中市大雅區大雅里中清東路162、166號,(04)25668239
L20,霧峰伯祥車業有限公司,臺中市霧峰區本鄉里林森路910號,(04)23325586
L21,振森輪業有限公司,臺中市霧峰區本堂里中正路669號1樓,(04)23394245
L22,誠豐車行有限公司,臺中市霧峰區中正路1157號,(04)23393151
L23,復輪達輪業有限公司,臺中市烏日區仁德里中山路一段395號1樓,(04)23377117
L24,新萬來輪業有限公司,臺中市大里區東興里益民路二段337號,(04)24818355
L25,偉達車業有限公司,臺中市大里區日新里中興路二段612號1樓,(04)24860003
L26,宏勝機車行,臺中市大里區金城里塗城路622號,(04)24951666
L27,和昌機車行,臺中市大里區塗城里塗城路329、331號1樓,(04)24950375
L28,幸福車行,臺中市大里區東湖里中興路一段203號,(04)24921726
L29,新建龍車業行,臺中市清水區橋頭里中華路530號1樓,(04)26237181
L30,吉雄輪業商行,臺中市清水區西社里海濱路111之1號,(04)26225643
L31,金財輪業行,臺中市清水區清水里中山路96號1樓,(04)26222763
L32,德源輪業有限公司,臺中市清水區下湳里中山路396之29號,(04)26234558
L33,光倫輪業有限公司,臺中市后里區墩東里民生路187號,(04)25562602
L35,新輪車業行,臺中市沙鹿區福興里鎮南路二段413號,(04)26363212
L36,成建機車行,臺中市龍井區龍津里中央路1段262號1樓,(04)26397373
L37,志翔車業行,臺中市大肚區頂街里沙田路二段750號1樓,(04)26980057
L38,國暐輪業有限公司,臺中市大安區海墘里大安港路1105號,(04)26861320
L39,永傳輪業有限公司,臺中市大甲區岷山里中山路一段896號,(04)26882233
L40,明德輪業商行,臺中市大甲區薰風里順天路44號1樓,(04)26875618
L41,新益機車行,臺中市大甲區文武里信義路275號1樓,(04)26862103
L42,移動式定檢站(中市移動),臺中市西區民權路99號,(04)22297045
L44,億豐機車行,臺中市大甲區頂店里中山路一段1243號1樓,(04)26876607
L45,久田機車行,臺中市大甲區頂店里中山路一段1265號1樓,(04)26876183
L47,三富輪業行,臺中市大甲區新美里順天路5號1樓,(04)26877986
L48,吉源機車行,臺中市大肚區頂街里沙田路三段89號1樓,(04)26992960
L49,草湖機車行,臺中市大里區東湖里中興路一段153號,(04)24938848
L50,盛偉車業有限公司,臺中市大里區金城里中興路一段344號一樓,(04)24939526
L51,嘉信機車行,臺中市大里區仁德里仁化路529號,(04)24914745
L52,德寶機車行,臺中市大里區瑞城里成功路397號1樓,(04)24952714
L53,嘉慶車業有限公司,臺中市大里區大里里長興一街20號1樓,(04)24064356
L54,瑞欣機車行,臺中市大里區東興里益民路二段330號,(04)24811150
L55,松岳車業有限公司,臺中市大里區瑞城里塗城路491號1樓,(04)24925080
L56,正成車行,臺中市大雅區大雅里中清東路111號,(04)25662066
L57,太三車業有限公司,臺中市大雅區雅楓里民生路三段115號,(04)25660150
L58,源順機車行,臺中市太平區坪林里中山路二段134號1樓,(04)23931236
L59,鴻騏車行,臺中市太平區新吉里中山路三段134號1樓,(04)23910738
L60,尚億機車行,臺中市太平區新福里中山路四段158號1樓,(04)23951611
L61,嘉欣機車行,臺中市太平區興隆里光興路1438號,(04)22704770
L62,直興輪業有限公司,臺中市太平區長億里長億路60號1樓,(04)22796713
L63,吉隆輪業商行,臺中市太平區宜佳里新平路二段93號1樓,(04)22777726
L66,福聯車業行,臺中市后里區墩東里文明路101號,(04)25560960
L67,永益機車行,臺中市后里區墩北里甲后路一段985號1樓,(04)25565042
L68,高輪機車行,臺中市沙鹿區興仁里沙田路71號,(04)26368329
L70,吳金龍機車行,臺中市沙鹿區福興里鎮南路二段243號1樓,(04)26355604
L71,坤晁車業有限公司,臺中市東勢區延平里豐勢路300號,(04)25873066
L73,永鴻輪業商行,臺中市烏日區烏日里中山路二段162號1樓,(04)23371718
L74,萬豐機車行,臺中市神岡區北庄里中山路1303號,(04)25623702
L75,華南輪業行,臺中市神岡區社南里民生路32-1號1樓,(04)25625275
L76,良安機車有限公司,臺中市梧棲區安仁里民生街93號,(04)26563267
L77,祥益機車行,臺中市梧棲區大庄里臺灣大道八段525巷40號 1樓,(04)26560098
L78,東昌機車行,臺中市梧棲區大庄里臺灣大道八段716號,(04)26565688
L79,大展機車行,臺中市梧棲區大庄里文昌路551號,(04)26561349
L80,金倫車業有限公司,臺中市清水區橋頭里五權路28號1樓,(04)26261919
L82,興松機車行,臺中市新社區新社里興安路39號1樓,(04)25817668
L83,岱億機車行,臺中市潭子區頭家東里中山路一段272號1樓,(04)25320819
L84,協昌機車行,臺中市潭子區潭秀里中山路二段465號,(04)25321495
L85,羽翔機車行,臺中市潭子區潭陽里福潭路211號1樓,(04)25368392
L86,德旺機車行,臺中市龍井區三德里中央路二段107號1樓,(04)26395039
L87,發成機車行,臺中市龍井區新東里新興路79號1樓,(04)26310077
L88,全德機車行,臺中市豐原區西湳里文賢街201號1樓,(04)25226691
L89,福山輪業行,臺中市豐原區豐田里豐田路35號1樓,(04)25270081
L90,海讌車業有限公司,臺中市豐原區豐圳里成功路586號1樓、2樓,(04)25238382
L91,桐林機車行,臺中市豐原區南陽里圓環東路209號1樓,(04)25263572
L93,弘昇車業行,臺中市豐原區翁子里豐勢路二段2號1樓,(04)25272648
L94,佳億機車行,臺中市大甲區薰風里水源路2之15號1樓,(04)26860866
L95,松承機車行,臺中市大甲區西岐里順帆路92之2號1樓,(04)26812254
L96,豐盛機車行,臺中市大甲區薰風里順天路30號,(04)26875957
L97,上弘機車行,臺中市大甲區日南里黎明路3之1號,(04)26820888
L98,佳和輪業有限公司,臺中市大甲區庄美里興安路54-1號,(04)26866153
L99,吉昌機車行,臺中市大甲區平安里信義路105號,(04)26873190
LA0,欣昌機車行,臺中市大安區中庄里中山南路458號1樓,(04)26712353
LA1,永任機車行,臺中市大肚區王田里沙田路一段77號1樓,(04)26933568
LA4,修平車業有限公司,臺中市大里區仁化里仁化路516號1樓,(04)24914290
LA5,?發機車行,臺中市大里區內新里中興路二段554號,(04)24860171
LA6,泰興車行,臺中市大里區祥興里中興路二段866號,(04)24866789
LA7,大暉輪業有限公司,臺中市大里區仁化里仁化路392號,(04)24919956
LA8,太山輪業商行,臺中市大里區東里路18號1樓,(04)24061489
LA9,高士車業行,臺中市大里區東興里國光路2段386號1樓,(04)24820061
LB0,昌隆機車行,臺中市大雅區四德里中清路三段838號,(04)25660637
LB1,志昌機車行,臺中市太平區中山里大源2街30號,(04)23927705
LB2,宏威機車行,臺中市太平區坪林里中山路二段67號1樓,(04)23925968
LB3,成龍機車行,臺中市太平區坪林里中山路二段175號,(04)23933028
LB4,信豪機車行,臺中市太平區中山里中山路二段539號1樓,(04)23923923
LB5,永久機車行,臺中市太平區新城里中山路三段180號,(04)23918375
LB6,建利機車行,臺中市太平區中興里太平路628號,(04)22784369
LB7,三和機車行,臺中市太平區中政里中興路89號1樓,(04)22707302
LB8,捍族機車商行,臺中市太平區成功里中興東路348號1樓,(04)22762611
LB9,旭鴻機車行,臺中市太平區永成里太平路241號1樓,(04)22763726
LC0,振盛機車行,臺中市太平區新高里廣三街22號1樓,(04)23957228
LC1,正大機車行,臺中市太平區光隆里光興路1038號,(04)22782967
LC2,千億車業,臺中市太平區宜欣里宜昌路391號1樓,(04)22731158
LC3,立成機車行,臺中市外埔區大東里甲后路五段51號1樓,(04)26874835
LC4,忠益機車行,臺中市石岡區萬安里豐勢路1131號1樓,(04)25722281
LC5,光輝機車行,臺中市后里區后里里三豐路三段969號,(04)25562809
LC6,明輝國際有限公司,臺中市后里區厚里里民生路35號1樓,(04)25563042
LC7,明元機車行,臺中市后里區厚里里甲后路一段742號1樓,(04)25564776
LC8,正峰機車行,臺中市后里區眉山里甲后路二段405號1樓,(04)25563651
LD0,內埔機車行,臺中市后里區墩東里文化路43號1樓,(04)25563797
LD1,尚旺機車行,臺中市沙鹿區北勢里北勢東路523號,(04)26529996
LD2,大統機車行,臺中市沙鹿區鹿寮里光華路320號1樓,(04)26652729
LD3,全營機車行,臺中市東勢區福隆里東坑路353號1樓,(04)25881630
LD4,正揚機車行,臺中市東勢區泰昌里東崎路五段456號1樓,(04)25888317
LD5,昭通機車行,臺中市東勢區粵寧里豐勢路574號1樓,(04)25872851
LD6,進昌輪業商行,臺中市烏日區九德里中山路一段490號,(04)23372265
LD7,正荃機車行,臺中市烏日區九德里興祥街103、105號1樓,(04)23370717
LD8,榮泰輪業商行,臺中市烏日區五光里五光路141號1樓,(04)23371714
LD9,煌原機車行,臺中市烏日區溪埧里溪南路一段730號1樓,(04)23353396
LE0,新傑機車行,臺中市神岡區社口里中山路776之1號,(04)25621780
LE1,三?機車行,臺中市神岡區社南里中山路719-5號1樓,(04)25628258
LE2,宏隆機車行,臺中市神岡區神岡里神岡路57號,(04)25616282
LE3,和炳車業行,臺中市梧棲區文化里中和街23號1樓,(04)26562678
LE4,伸發車業有限公司,臺中市清水區南寧里鰲峰路36號1樓,(04)26234222
LE5,信揮機車行,臺中市清水區北寧里中山路226號1樓,(04)26222032
LE6,瑞明車業行,臺中市清水區北寧里中山路306巷5號1樓,(04)26230615
LE7,鑫輪車業行,臺中市清水區南社里鰲峰路373號1樓,(04)26271949
LE8,昌平車行,臺中市潭子區潭秀里中山路二段508號,(04)25328736
LE9,侑輪機車行,臺中市潭子區潭秀里中山路二段532號,(04)25323431
LF0,益新機車行,臺中市潭子區潭秀里中山路二段522號,(04)25327270
LF1,正全宏輪業行,臺中市潭子區嘉仁里福潭路728號1樓,(04)25368084
LF2,三發機車行,臺中市潭子區栗林里祥和路126號,(04)25362199
LF3,國洲機車行,臺中市潭子區栗林里祥和路177號1樓,(04)25373336
LF4,崑崙車行,臺中市潭子區東寶里大豐路二段9號1樓,(04)25325817
LF5,源通機車行,臺中市潭子區潭陽里圓通南路199號1樓,(04)25350400
LF6,永新機車行,臺中市潭子區甘蔗里潭興路三段128號1樓,(04)25323580
LF7,江龍機車行,臺中市龍井區龍崗里沙田路四段598巷3號1樓,(04)26352647
LF8,合順機車行,臺中市龍井區新東里新興路42號1樓,(04)26321056
LF9,承旺機車行,臺中市龍井區新東里新興路51之3號,(04)26319040
LG1,永達機車行,臺中市豐原區社皮里大豐路五段465號,(04)25238069
LG2,毅泰輪業行,臺中市豐原區豐西里源豐路21號,(04)25223538
LG3,東光車業有限公司,臺中市豐原區社皮里成功路306號1樓,(04)25154255
LG4,金瓏機車行,臺中市豐原區西湳里三豐路二段119號1樓,(04)25224680
LG5,大春機車行,臺中市豐原區東勢里中山路382號,(04)25268503
LG6,東平機車行,臺中市豐原區圳寮里中山路579號,(04)25243600
LG7,定成機車零件廠,臺中市豐原區南村里水源路305號,(04)25228727
LG8,茂盛工業社,臺中市豐原區西安里西勢路160號,(04)25261855
LG9,祥興機車行,臺中市豐原區圳寮里圓環北路一段30號1樓,(04)25272391
LH0,正興機車行,臺中市豐原區圓環東路351號1樓,(04)25232675
LH1,綸泰企業(股)公司豐原分公司,臺中市豐原區圓環南路239號1樓,(04)25240756
LH2,偉昌機車行,臺中市豐原區中陽里豐陽路58號1樓,(04)25241398
LH3,源龍機車行,臺中市豐原區鎌村里鎌村路561號1樓,(04)25372222
LH4,長益車業有限公司,臺中市霧峰區中正路606號1樓,(04)23397115
LH5,玉豐機車行,臺中市霧峰區甲寅里中正路1179號1樓,(04)23300928
LH6,勝鴻車業行,臺中市潭子區潭陽里復興路二段114號1樓,(04)25361488
LH7,見來機車行,臺中市沙鹿區興仁里沙田路132號1樓,(04)26628734
LH8,大勝機車行,臺中市大里區立德里立仁路158號,(04)22780762
LH9,懿宏機車有限公司,臺中市大里區內新里益民路一段209號1樓,(04)24854199
LI0,建長機車行,臺中市新社區大南里中和街二段298號1樓,(04)25811165
LI1,大維機車行,臺中市霧峰區本堂里中正路767之7號1樓,(04)23337788
LI2,文政機車行,臺中市潭子區大豐路三段184號,(04)25355119
LI3,永一機車行,臺中市大肚區頂街里沙田路三段234號1樓,(04)26993798
